================================================================================
PERSON TRACKING LOG (Part-Based)
================================================================================
Video Start Time: 2025-08-17 21:01:28
Format: [TIMESTAMP] FRAME | ID | STATUS | DETAILS
[21:01:30.627] F000069 | ID_001 | Tracked      | IoU: 0.98 at (888,198)-(983,496)
[21:01:30.627] F000069 | ID_002 | Tracked      | IoU: 0.98 at (436,337)-(626,621)
[21:01:30.627] F000069 | ID_010 | Tracked      | IoU: 0.94 at (521,126)-(578,292)
[21:01:30.627] F000069 | ID_017 | Lost         |  at (425,296)-(493,444)
[21:01:30.660] F000070 | ID_001 | Tracked      | IoU: 0.99 at (887,198)-(982,496)
[21:01:30.660] F000070 | ID_002 | Tracked      | IoU: 0.90 at (450,340)-(624,621)
[21:01:30.660] F000070 | ID_010 | Tracked      | IoU: 0.93 at (521,127)-(579,299)
[21:01:30.694] F000071 | ID_001 | Tracked      | IoU: 1.00 at (887,198)-(982,496)
[21:01:30.694] F000071 | ID_002 | Tracked      | IoU: 0.92 at (457,342)-(629,621)
[21:01:30.694] F000071 | ID_010 | Tracked      | IoU: 0.83 at (522,128)-(589,301)
[21:01:30.727] F000072 | ID_001 | Tracked      | IoU: 0.99 at (888,200)-(982,496)
[21:01:30.727] F000072 | ID_002 | Tracked      | IoU: 0.96 at (461,340)-(627,621)
[21:01:30.727] F000072 | ID_010 | Tracked      | IoU: 0.78 at (521,128)-(575,304)
[21:01:30.760] F000073 | ID_001 | Tracked      | IoU: 0.99 at (887,200)-(982,496)
[21:01:30.760] F000073 | ID_002 | Tracked      | IoU: 0.94 at (466,341)-(631,621)
[21:01:30.760] F000073 | ID_010 | Tracked      | IoU: 0.89 at (521,128)-(581,304)
[21:01:30.794] F000074 | ID_001 | Tracked      | IoU: 0.99 at (887,200)-(982,496)
[21:01:30.794] F000074 | ID_002 | Tracked      | IoU: 0.99 at (466,341)-(631,620)
[21:01:30.794] F000074 | ID_010 | Tracked      | IoU: 0.99 at (521,128)-(581,304)
[21:01:30.827] F000075 | ID_001 | Tracked      | IoU: 1.00 at (886,199)-(982,496)
[21:01:30.827] F000075 | ID_002 | Tracked      | IoU: 0.92 at (471,343)-(630,631)
[21:01:30.827] F000075 | ID_010 | Tracked      | IoU: 0.82 at (521,129)-(572,298)
[21:01:30.860] F000076 | ID_001 | Tracked      | IoU: 1.00 at (886,199)-(982,496)
[21:01:30.860] F000076 | ID_002 | Tracked      | IoU: 0.92 at (472,335)-(634,639)
[21:01:30.860] F000076 | ID_010 | Tracked      | IoU: 0.84 at (521,129)-(579,307)
[21:01:30.894] F000077 | ID_001 | Tracked      | IoU: 0.99 at (886,198)-(982,496)
[21:01:30.894] F000077 | ID_002 | Tracked      | IoU: 0.93 at (479,336)-(632,643)
